Token: PHP_START, Value: <?php, Line: 1
Token: VARIABLE, Value: $numero1, Line: 5
Token: IGUAL, Value: =, Line: 5
Token: NUMBER, Value: 10, Line: 5
Token: PUNTOYCOMA, Value: ;, Line: 5
Token: VARIABLE, Value: $numero2, Line: 6
Token: IGUAL, Value: =, Line: 6
Token: NUMBER, Value: 20, Line: 6
Token: PUNTOYCOMA, Value: ;, Line: 6
Token: VARIABLE, Value: $numero3, Line: 7
Token: IGUAL, Value: =, Line: 7
Token: FLOAT, Value: 5.5, Line: 7
Token: PUNTOYCOMA, Value: ;, Line: 7
Token: VARIABLE, Value: $Boolean, Line: 8
Token: IGUAL, Value: =, Line: 8
Token: BOOLEAN, Value: TRUE, Line: 8
Token: PUNTOYCOMA, Value: ;, Line: 8
Token: VARIABLE, Value: $Boolean2, Line: 9
Token: IGUAL, Value: =, Line: 9
Token: BOOLEAN, Value: FALSE, Line: 9
Token: PUNTOYCOMA, Value: ;, Line: 9
Token: VARIABLE, Value: $nombre, Line: 10
Token: IGUAL, Value: =, Line: 10
Token: STRING, Value: "LeonardoParra", Line: 10
Token: PUNTOYCOMA, Value: ;, Line: 10
Token: IF, Value: if, Line: 13
Token: LPAREN, Value: (, Line: 13
Token: VARIABLE, Value: $numero1, Line: 13
Token: MAYOR, Value: >, Line: 13
Token: VARIABLE, Value: $numero2, Line: 13
Token: RPAREN, Value: ), Line: 13
Token: LLLAVE, Value: {, Line: 13
Token: ECHO, Value: echo, Line: 14
Token: STRING, Value: "El número 1 es mayor que el número 2", Line: 14
Token: PUNTOYCOMA, Value: ;, Line: 14
Token: RLLAVE, Value: }, Line: 15
Token: ELSE, Value: else, Line: 15
Token: LLLAVE, Value: {, Line: 15
Token: ECHO, Value: echo, Line: 16
Token: STRING, Value: "El número 2 es mayor o igual que el número 1", Line: 16
Token: PUNTOYCOMA, Value: ;, Line: 16
Token: RLLAVE, Value: }, Line: 17
Token: VARIABLE, Value: $suma, Line: 20
Token: IGUAL, Value: =, Line: 20
Token: VARIABLE, Value: $numero1, Line: 20
Token: PLUS, Value: +, Line: 20
Token: VARIABLE, Value: $numero2, Line: 20
Token: PUNTOYCOMA, Value: ;, Line: 20
Token: VARIABLE, Value: $resta, Line: 21
Token: IGUAL, Value: =, Line: 21
Token: VARIABLE, Value: $numero1, Line: 21
Token: MINUS, Value: -, Line: 21
Token: VARIABLE, Value: $numero2, Line: 21
Token: PUNTOYCOMA, Value: ;, Line: 21
Token: VARIABLE, Value: $multiplicacion, Line: 22
Token: IGUAL, Value: =, Line: 22
Token: VARIABLE, Value: $numero1, Line: 22
Token: TIMES, Value: *, Line: 22
Token: VARIABLE, Value: $numero2, Line: 22
Token: PUNTOYCOMA, Value: ;, Line: 22
Token: VARIABLE, Value: $division, Line: 23
Token: IGUAL, Value: =, Line: 23
Token: VARIABLE, Value: $numero1, Line: 23
Token: DIVIDE, Value: /, Line: 23
Token: VARIABLE, Value: $numero2, Line: 23
Token: PUNTOYCOMA, Value: ;, Line: 23
Token: VARIABLE, Value: $modulo, Line: 24
Token: IGUAL, Value: =, Line: 24
Token: VARIABLE, Value: $numero1, Line: 24
Token: MOD, Value: %, Line: 24
Token: VARIABLE, Value: $numero2, Line: 24
Token: PUNTOYCOMA, Value: ;, Line: 24
Token: WHILE, Value: while, Line: 27
Token: LPAREN, Value: (, Line: 27
Token: VARIABLE, Value: $numero1, Line: 27
Token: MAYOR, Value: >, Line: 27
Token: NUMBER, Value: 0, Line: 27
Token: RPAREN, Value: ), Line: 27
